-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
_ZN7cutlass6KernelIN9deep_gemm10GemmKernelIN3aiu4gem...         0.00%       0.000us         0.00%       0.000us       0.000us      63.517ms         0.58%      63.517ms      15.714us          4042  
                       vllm::fl_ppu_sparse_attn_indexer         0.38%      45.529ms         1.15%     138.598ms       2.200ms      61.355ms         0.56%      75.151ms       1.193ms            63  
_C::fused_deepseek_v4_qnorm_rope_kv_rope_quant_inser...         0.09%      10.848ms         0.59%      71.442ms     553.811us      60.948ms         0.55%     124.559ms     965.573us           129  
                           vllm::fl_indexer_q_rope_int8         0.04%       5.043ms         0.21%      24.765ms     393.088us      58.630ms         0.53%      85.547ms       1.358ms            63  
_ZN7cutlass6KernelINS_4gemm6kernel23GemmWithEpilogue...         0.00%       0.000us         0.00%       0.000us       0.000us      56.423ms         0.51%      56.423ms     376.151us           150  
                                      mm_kernel_general         0.00%       0.000us         0.00%       0.000us       0.000us      52.172ms         0.47%      52.172ms      25.351us          2058  
                       _fused_inv_rope_float32_per_head         0.00%       0.000us         0.00%       0.000us       0.000us      47.399ms         0.43%      47.399ms      10.498us          4515  
_ZN7cutlass6KernelINS_4gemm6kernel23GemmWithEpilogue...         0.00%       0.000us         0.00%       0.000us       0.000us      46.482ms         0.42%      46.482ms      11.500us          4042  
                            _save_partial_states_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      44.207ms         0.40%      44.207ms       7.202us          6138  
                                           aten::linear         0.25%      30.131ms         0.46%      55.694ms     244.274us      42.950ms         0.39%      43.473ms     190.673us           228  
void flash::flash_fwd_splitkv_mla_combine_kernel<Fla...         0.00%       0.000us         0.00%       0.000us       0.000us      41.239ms         0.38%      41.239ms       9.786us          4214  
